accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.45996     ; 0.98468      ; 0.23706      ; 1.11237      ; 15.41718     ; 9.42078      ; -58.76022    ; 60.75708    
-0.35590     ; 0.96295      ; 0.21649      ; 1.04919      ; 13.02460     ; 8.68805      ; -57.81067    ; 59.26754    
-0.33899     ; 0.95966      ; 0.19263      ; 1.03584      ; 13.42834     ; 11.85074     ; -58.78265    ; 60.30458    
-0.30701     ; 0.94293      ; 0.20520      ; 1.01266      ; 9.96658      ; 20.96497     ; -51.77689    ; 52.73583    
-0.29742     ; 0.92596      ; 0.22595      ; 0.99846      ; 6.51230      ; 27.84363     ; -44.77859    ; 45.25914    
-0.28204     ; 0.90302      ; 0.29279      ; 0.99031      ; 2.72156      ; 30.71472     ; -41.95236    ; 42.05024    
-0.26697     ; 0.87488      ; 0.30090      ; 0.96293      ; -3.97018     ; 30.49789     ; -39.05884    ; 39.26984    
-0.26874     ; 0.86829      ; 0.28485      ; 0.95251      ; -7.41699     ; 25.83984     ; -45.59357    ; 46.20107    
-0.25183     ; 0.85895      ; 0.25623      ; 0.93105      ; -7.73102     ; 21.27151     ; -50.01236    ; 50.61366    
-0.23029     ; 0.85620      ; 0.25427      ; 0.92237      ; -4.68048     ; 14.07135     ; -50.01984    ; 50.24564    
-0.19745     ; 0.90204      ; 0.19116      ; 0.94298      ; 9.03198      ; 2.71408      ; -48.43475    ; 49.27794    
-0.21729     ; 0.94843      ; 0.24579      ; 1.00356      ; 6.27304      ; -1.09161     ; -45.89264    ; 46.32909    
-0.18835     ; 0.98645      ; 0.25116      ; 1.03520      ; 8.61328      ; -13.60779    ; -41.95984    ; 42.84612    
-0.14050     ; 1.03131      ; 0.21954      ; 1.06374      ; 16.65833     ; -18.72940    ; -43.22342    ; 46.33387    
-0.08264     ; 1.07147      ; 0.22675      ; 1.09832      ; 10.55725     ; -10.64697    ; -37.70554    ; 39.17028    
-0.08002     ; 1.09912      ; 0.21912      ; 1.12360      ; 3.10287      ; 0.83740      ; -24.59869    ; 24.81797    
-0.05371     ; 1.10083      ; 0.18555      ; 1.11765      ; -9.94415     ; 12.53860     ; -7.10297     ; 12.26989    
-0.05511     ; 1.10236      ; 0.23480      ; 1.12843      ; -24.17999    ; 12.88254     ; 1.24115      ; 24.23691    
-0.09186     ; 1.12170      ; 0.14795      ; 1.13514      ; -24.71085    ; -5.16647     ; 11.14792     ; 27.13227    
0.01733      ; 1.33508      ; 0.12067      ; 1.34064      ; -5.44312     ; -20.34439    ; 13.54050     ; 14.65452    
0.09937      ; 1.62933      ; 0.16730      ; 1.64091      ; -21.66031    ; -14.63211    ; 13.75732     ; 25.71163    
0.05457      ; 1.78070      ; 0.23016      ; 1.79634      ; -43.20847    ; -12.31430    ; 34.24377     ; 55.16138    
-0.10693     ; 1.80756      ; 0.41461      ; 1.85758      ; -50.85724    ; -6.57211     ; 81.44485     ; 96.03640    
-0.27075     ; 1.75391      ; 0.46851      ; 1.83548      ; -50.19928    ; -11.56662    ; 102.91824    ; 114.52165   
-0.54834     ; 1.67706      ; 0.46112      ; 1.82369      ; -44.95056    ; -38.78220    ; 139.07608    ; 146.16949   
-0.80084     ; 1.49011      ; 0.46265      ; 1.75380      ; -37.58591    ; -54.78256    ; 167.25616    ; 171.43379   
-0.88293     ; 1.28540      ; 0.49591      ; 1.63638      ; -30.29602    ; -48.56186    ; 176.01898    ; 178.61182   
-0.85559     ; 1.08636      ; 0.45953      ; 1.45719      ; -21.19675    ; -43.12622    ; 162.75513    ; 164.13322   
-0.75873     ; 0.94568      ; 0.38812      ; 1.27303      ; -18.09387    ; -49.45160    ; 141.52847    ; 142.68353   
-0.77106     ; 0.92267      ; 0.35382      ; 1.25341      ; -20.43411    ; -53.74329    ; 133.62549    ; 135.18201   
-0.83905     ; 0.87469      ; 0.41064      ; 1.27974      ; -18.17612    ; -51.94138    ; 120.75043    ; 122.11389   
-0.73682     ; 0.77893      ; 0.48022      ; 1.17484      ; -9.09180     ; -34.80453    ; 103.23975    ; 103.64223   
-0.67084     ; 0.70392      ; 0.53387      ; 1.10930      ; -11.66382    ; -15.64148    ; 86.03561     ; 86.82550    
-0.57751     ; 0.65265      ; 0.44434      ; 0.97822      ; -12.49374    ; -11.42456    ; 75.04471     ; 76.08041    
-0.51123     ; 0.63129      ; 0.29047      ; 0.86270      ; -15.97046    ; -5.78705     ; 67.93427     ; 69.78910    
-0.48187     ; 0.55658      ; 0.22510      ; 0.76984      ; -25.27161    ; 3.21503      ; 64.74167     ; 69.50142    
-0.50128     ; 0.48206      ; 0.26398      ; 0.74387      ; -42.49817    ; 19.35745     ; 58.79013     ; 72.54382    
-0.51190     ; 0.49066      ; 0.26672      ; 0.75758      ; -33.61572    ; 16.68823     ; 31.32034     ; 45.94803    
-0.41156     ; 0.57977      ; 0.24084      ; 0.75068      ; -6.51230     ; -9.18152     ; 6.61697      ; 9.30218     
-0.36072     ; 0.65472      ; 0.21252      ; 0.77714      ; 9.57031      ; -33.75031    ; -19.87335    ; 22.06739    
-0.36090     ; 0.68073      ; 0.18152      ; 0.79157      ; 20.24719     ; -30.06424    ; -40.17288    ; 44.99192    
-0.38031     ; 0.68573      ; 0.25684      ; 0.82512      ; 22.31827     ; -24.35944    ; -41.85516    ; 47.43870    
-0.42505     ; 0.67859      ; 0.32019      ; 0.86236      ; 17.65274     ; -9.56284     ; -47.72446    ; 50.88913    
-0.45892     ; 0.71686      ; 0.35516      ; 0.92230      ; 15.50690     ; 2.01874      ; -61.08551    ; 63.02711    
-0.51117     ; 0.77521      ; 0.38214      ; 1.00413      ; 6.75903      ; 17.77237     ; -68.89877    ; 69.23386    
-0.50964     ; 0.83752      ; 0.38489      ; 1.05324      ; 2.99072      ; 33.67554     ; -72.18857    ; 72.25535    
-0.55603     ; 0.90723      ; 0.37445      ; 1.12803      ; 1.33087      ; 37.78778     ; -79.47845    ; 79.49477    
-0.64319     ; 0.98730      ; 0.45471      ; 1.26302      ; -1.66733     ; 38.47565     ; -85.59448    ; 85.61641    
-0.69458     ; 1.00507      ; 0.52875      ; 1.33123      ; 1.14395      ; 43.59726     ; -91.16470    ; 91.17742    
-0.72644     ; 0.99969      ; 0.54285      ; 1.34974      ; 9.03198      ; 56.77887     ; -101.95374   ; 102.35790   
-0.80188     ; 1.04083      ; 0.50989      ; 1.40937      ; 6.33286      ; 57.78076     ; -107.47162   ; 107.66307   
-0.80859     ; 1.15002      ; 0.51062      ; 1.49570      ; 3.52158      ; 50.16190     ; -119.97284   ; 120.03002   
-0.70294     ; 1.20782      ; 0.53894      ; 1.49781      ; 5.55527      ; 38.67004     ; -132.22733   ; 132.34949   
-0.59381     ; 1.26862      ; 0.54376      ; 1.50256      ; 5.63751      ; 22.40051     ; -143.67432   ; 143.79047   
-0.46814     ; 1.35913      ; 0.49152      ; 1.51920      ; 11.12549     ; 19.61166     ; -150.11185   ; 150.52969   
-0.42224     ; 1.40771      ; 0.41974      ; 1.52844      ; 21.18927     ; 14.52744     ; -152.29507   ; 153.76851   
-0.37817     ; 1.38055      ; 0.28381      ; 1.45928      ; 43.72437     ; 5.00198      ; -140.53406   ; 147.18542   
-0.33008     ; 1.31805      ; 0.20123      ; 1.37358      ; 42.78976     ; 6.37024      ; -130.23849   ; 137.09401   
-0.25232     ; 1.23035      ; 0.16882      ; 1.26725      ; 31.20819     ; 23.66409     ; -113.22128   ; 117.45009   
-0.21423     ; 1.17212      ; 0.20135      ; 1.20843      ; 8.52356      ; 39.11118     ; -97.16110    ; 97.54130    
-0.21869     ; 1.17200      ; 0.17816      ; 1.20546      ; 3.05801      ; 41.42899     ; -89.35532    ; 89.41531    
-0.25128     ; 1.20850      ; 0.18213      ; 1.24771      ; -9.60022     ; 45.01785     ; -78.29712    ; 78.89273    
-0.20465     ; 1.19800      ; 0.16528      ; 1.22654      ; -18.05649    ; 55.21622     ; -69.22775    ; 71.55385    
-0.15967     ; 1.15833      ; 0.16058      ; 1.18025      ; -30.44556    ; 59.83688     ; -63.77716    ; 70.68097    
-0.13788     ; 1.13538      ; 0.18652      ; 1.15883      ; -35.13351    ; 54.22928     ; -57.46674    ; 67.36526    
-0.12756     ; 1.10907      ; 0.25385      ; 1.14488      ; -36.98029    ; 40.70374     ; -51.67221    ; 63.55147    
-0.08911     ; 1.07251      ; 0.36633      ; 1.13685      ; -35.14099    ; 32.98767     ; -48.37494    ; 59.80112    
-0.07513     ; 1.05542      ; 0.35889      ; 1.11730      ; -13.52554    ; 12.99469     ; -38.13171    ; 40.47322    
-0.04352     ; 1.04767      ; 0.28223      ; 1.08589      ; 14.57230     ; -5.14404     ; -22.33322    ; 26.68749    
-0.07513     ; 1.04877      ; 0.11194      ; 1.05740      ; 24.52393     ; -21.45096    ; 1.61499      ; 24.59941    
-0.18323     ; 1.02850      ; 0.10822      ; 1.05029      ; -8.84506     ; -10.75165    ; 23.46970     ; 25.10218    
-0.23169     ; 1.01300      ; 0.13464      ; 1.04784      ; -13.80219    ; -2.31781     ; 39.61960     ; 41.96712    
-0.26233     ; 1.00116      ; 0.18378      ; 1.05115      ; -12.89749    ; -3.06549     ; 44.48700     ; 46.32970    
-0.25964     ; 1.01746      ; 0.19934      ; 1.06882      ; -12.24701    ; -12.59842    ; 48.09830     ; 49.64344    
