accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.27948     ; 1.01605      ; 0.05463      ; 1.05520      ; -5.72723     ; 1.39816      ; -4.88983     ; 7.59895     
-0.28552     ; 1.01025      ; 0.06317      ; 1.05173      ; -5.44312     ; 1.71219      ; -5.03937     ; 7.48621     
-0.28796     ; 1.00269      ; 0.07074      ; 1.04561      ; -5.46555     ; 1.77200      ; -4.80759     ; 7.34782     
-0.29028     ; 0.99768      ; 0.07410      ; 1.04169      ; -6.05621     ; 1.18134      ; -4.28421     ; 7.48516     
-0.28632     ; 1.00275      ; 0.06201      ; 1.04466      ; -7.97775     ; -0.25421     ; -5.12909     ; 9.53717     
-0.27515     ; 1.00507      ; 0.05524      ; 1.04351      ; -9.38339     ; -1.66733     ; -4.71786     ; 10.55066    
-0.26697     ; 1.00513      ; 0.05945      ; 1.04167      ; -10.45258    ; -1.24115     ; -5.15900     ; 11.69965    
-0.26434     ; 1.00714      ; 0.06665      ; 1.04339      ; -11.64886    ; -0.97198     ; -4.89731     ; 12.67651    
-0.25879     ; 0.99866      ; 0.06421      ; 1.03364      ; -12.86758    ; -1.80191     ; -4.85992     ; 13.79097    
-0.26086     ; 0.98712      ; 0.06628      ; 1.02316      ; -12.80777    ; -3.93280     ; -5.55527     ; 13.99551    
-0.26019     ; 0.98785      ; 0.07117      ; 1.02402      ; -12.85263    ; -6.15341     ; -6.01135     ; 14.22330    
-0.26624     ; 0.99774      ; 0.06354      ; 1.03460      ; -13.88443    ; -7.55157     ; -5.68237     ; 15.03537    
-0.25787     ; 0.99347      ; 0.07788      ; 1.02934      ; -12.70309    ; -8.44879     ; -6.50482     ; 14.30623    
-0.24243     ; 0.99860      ; 0.09198      ; 1.03171      ; -11.28998    ; -8.35159     ; -7.06558     ; 13.35602    
-0.24774     ; 0.99713      ; 0.11646      ; 1.03403      ; -11.29745    ; -6.66931     ; -7.15530     ; 13.40989    
-0.24988     ; 1.00995      ; 0.12183      ; 1.04751      ; -10.75165    ; -10.19836    ; -8.50113     ; 13.74362    
-0.21655     ; 1.02673      ; 0.11047      ; 1.05512      ; -10.97595    ; -15.88074    ; -10.10117    ; 14.95190    
-0.27313     ; 1.02747      ; 0.08954      ; 1.06691      ; -11.62643    ; -21.31638    ; -8.22449     ; 14.27837    
-0.22601     ; 1.03339      ; 0.07623      ; 1.06056      ; -2.32529     ; -21.08459    ; -9.54788     ; 9.88114     
-0.23993     ; 1.02802      ; 0.10419      ; 1.06077      ; 2.98325      ; -13.66760    ; -8.77029     ; 9.32066     
-0.26074     ; 1.03314      ; 0.15070      ; 1.07614      ; 1.36078      ; -12.59094    ; -8.01514     ; 8.19521     
-0.25800     ; 1.03864      ; 0.16223      ; 1.08242      ; 1.31592      ; -13.50311    ; -8.80020     ; 8.95846     
-0.27423     ; 1.02124      ; 0.17249      ; 1.07139      ; -1.34583     ; -11.49933    ; -8.26187     ; 8.43283     
-0.25488     ; 1.04755      ; 0.13379      ; 1.08638      ; -0.57571     ; -12.61337    ; -8.97217     ; 9.05144     
-0.24414     ; 1.00452      ; 0.13171      ; 1.04212      ; -2.43744     ; -9.58527     ; -7.25998     ; 7.72382     
-0.28046     ; 1.07025      ; 0.14545      ; 1.11591      ; 9.39835      ; -7.88055     ; -9.15161     ; 13.16155    
-0.27039     ; 1.02509      ; 0.14673      ; 1.07025      ; 2.60193      ; -10.30304    ; -9.01703     ; 9.44074     
-0.32190     ; 1.05212      ; 0.14697      ; 1.11004      ; 6.92352      ; -12.20963    ; -11.95541    ; 13.85547    
-0.33081     ; 1.05005      ; 0.15527      ; 1.11182      ; 5.68237      ; -15.68634    ; -11.30493    ; 12.69620    
-0.32190     ; 0.99908      ; 0.14087      ; 1.05907      ; 9.52545      ; -19.10324    ; -6.37772     ; 11.50685    
-0.31775     ; 0.94843      ; 0.14258      ; 1.01035      ; 9.91425      ; -17.14432    ; -4.50851     ; 10.93245    
-0.29999     ; 0.93500      ; 0.16486      ; 0.99569      ; 16.16486     ; -1.80191     ; -7.34970     ; 17.78187    
-0.27930     ; 0.93677      ; 0.17126      ; 0.99241      ; 21.45096     ; 10.86380     ; -10.86380    ; 24.06332    
-0.33405     ; 0.96637      ; 0.04468      ; 1.02345      ; 20.55374     ; 40.12054     ; -22.85660    ; 30.75409    
-0.38495     ; 1.01074      ; 0.04657      ; 1.08257      ; 8.86749      ; 56.63681     ; -29.17450    ; 30.50910    
-0.43378     ; 1.07520      ; 0.00421      ; 1.15941      ; -24.64355    ; 33.02505     ; -35.33539    ; 43.09351    
-0.32001     ; 1.05365      ; 0.01703      ; 1.10131      ; -20.04532    ; 5.82443      ; -28.80814    ; 35.11173    
-0.29486     ; 1.06000      ; 0.10992      ; 1.10572      ; -4.63562     ; -7.28241     ; -21.00983    ; 21.54125    
-0.29889     ; 1.07037      ; 0.09467      ; 1.11535      ; 0.68039      ; -6.98334     ; -18.52753    ; 18.57089    
-0.31744     ; 1.02557      ; 0.16583      ; 1.08631      ; 11.82083     ; 10.28809     ; -9.83200     ; 15.40948    
-0.35132     ; 1.04315      ; 0.16687      ; 1.11330      ; 3.44681      ; 2.78885      ; -17.71255    ; 18.07493    
-0.33533     ; 1.04919      ; 0.15973      ; 1.11300      ; -19.01352    ; -6.29547     ; -24.79309    ; 31.26199    
-0.29340     ; 1.00897      ; 0.11536      ; 1.05708      ; -38.16910    ; -10.27313    ; -21.45096    ; 43.79545    
-0.29700     ; 1.13965      ; 0.09399      ; 1.18146      ; -79.07471    ; -16.93497    ; -20.60608    ; 81.72343    
-0.30292     ; 1.06488      ; 0.10132      ; 1.11175      ; -68.86887    ; -25.14450    ; -11.91803    ; 69.90060    
-0.35773     ; 0.98273      ; 0.21936      ; 1.06857      ; -58.21442    ; -30.24368    ; 0.12711      ; 58.22285    
-0.36029     ; 0.91272      ; 0.28314      ; 1.02129      ; -46.69266    ; -28.37448    ; -7.33475     ; 47.27405    
-0.35101     ; 0.86328      ; 0.26044      ; 0.96762      ; -61.78085    ; -34.75967    ; -20.75562    ; 65.17986    
-0.40924     ; 0.87634      ; 0.11102      ; 0.97354      ; -101.03409   ; -39.20090    ; -38.14667    ; 107.99918   
-0.44104     ; 0.96228      ; 0.21405      ; 1.07996      ; -140.58640   ; -23.95569    ; -36.00082    ; 145.12587   
