accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.71783     ; 0.78668      ; 0.25372      ; 1.09477      ; -7.56653     ; 3.76831      ; -3.33466     ; 8.30609     
-0.72137     ; 0.78998      ; 0.24927      ; 1.09844      ; -7.68616     ; 3.68607      ; -3.07297     ; 8.31530     
-0.72333     ; 0.78839      ; 0.25061      ; 1.09889      ; -7.28989     ; 3.64120      ; -3.04306     ; 7.93878     
-0.72180     ; 0.79041      ; 0.24133      ; 1.09726      ; -7.61139     ; 3.61130      ; -3.35709     ; 8.35632     
-0.70984     ; 0.80042      ; 0.23816      ; 1.09602      ; -6.89362     ; 2.44492      ; -4.70291     ; 8.38332     
-0.69159     ; 0.81622      ; 0.22809      ; 1.09386      ; -7.88803     ; 2.33276      ; -4.26926     ; 9.00632     
-0.68713     ; 0.81415      ; 0.23706      ; 1.09142      ; -7.14783     ; 3.37204      ; -2.91595     ; 7.76254     
-0.69159     ; 0.80127      ; 0.24750      ; 1.08701      ; -5.24872     ; 2.04865      ; -1.18881     ; 5.44099     
-0.69232     ; 0.79047      ; 0.24817      ; 1.07969      ; -4.32907     ; 0.06729      ; -0.98694     ; 4.50996     
-0.69550     ; 0.77930      ; 0.24872      ; 1.07372      ; -4.31412     ; -1.13647     ; -0.33646     ; 4.39683     
-0.69543     ; 0.77081      ; 0.24725      ; 1.06720      ; -4.95712     ; -0.95703     ; -1.25610     ; 5.17156     
-0.68671     ; 0.78271      ; 0.23743      ; 1.06798      ; -2.46735     ; -4.20197     ; -3.29727     ; 4.19195     
-0.67645     ; 0.78046      ; 0.23975      ; 1.06027      ; -0.49347     ; -7.32727     ; -4.77768     ; 4.86609     
-0.69763     ; 0.79407      ; 0.22766      ; 1.08123      ; 3.40195      ; -12.23953    ; -6.45248     ; 7.33746     
-0.71289     ; 0.81226      ; 0.20599      ; 1.10018      ; 6.07117      ; -14.37042    ; -7.75345     ; 9.88103     
-0.69446     ; 0.82617      ; 0.22980      ; 1.10347      ; 12.91245     ; -17.06207    ; -10.88623    ; 16.90928    
-0.67468     ; 0.80939      ; 0.29932      ; 1.09540      ; 16.57608     ; -16.15738    ; -11.85074    ; 20.39268    
-0.67310     ; 0.77441      ; 0.34283      ; 1.08181      ; 13.57788     ; -17.98920    ; -10.22827    ; 17.01694    
-0.68982     ; 0.76447      ; 0.33325      ; 1.08227      ; 10.50491     ; -22.50519    ; -10.68436    ; 15.00310    
-0.70966     ; 0.76233      ; 0.27777      ; 1.07792      ; 11.32736     ; -28.33710    ; -12.23953    ; 16.69420    
-0.71161     ; 0.75830      ; 0.26984      ; 1.07435      ; 12.04514     ; -29.87732    ; -15.02838    ; 19.27466    
-0.70197     ; 0.77814      ; 0.27344      ; 1.08306      ; 13.77228     ; -30.46051    ; -16.88263    ; 21.80148    
-0.70990     ; 0.78229      ; 0.27985      ; 1.09282      ; 12.50870     ; -27.97073    ; -18.94623    ; 22.71649    
-0.70972     ; 0.78497      ; 0.27802      ; 1.09415      ; 13.42834     ; -26.82678    ; -20.23972    ; 24.30191    
-0.70728     ; 0.77777      ; 0.27710      ; 1.08718      ; 14.80408     ; -28.98010    ; -21.70517    ; 26.28460    
-0.70221     ; 0.78217      ; 0.27002      ; 1.08526      ; 18.41537     ; -30.97641    ; -23.40240    ; 29.78943    
-0.69788     ; 0.80475      ; 0.25891      ; 1.09621      ; 21.60049     ; -29.53339    ; -24.38187    ; 32.58381    
-0.70563     ; 0.80017      ; 0.28369      ; 1.10393      ; 19.29016     ; -27.27539    ; -23.53699    ; 30.44241    
-0.71979     ; 0.78497      ; 0.31744      ; 1.11133      ; 15.44708     ; -19.52194    ; -20.84534    ; 25.95682    
-0.72681     ; 0.79730      ; 0.31909      ; 1.12506      ; 10.21332     ; -17.20413    ; -21.60797    ; 23.91343    
