accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.74133     ; 0.70990      ; 0.36511      ; 1.08942      ; -14.84894    ; 11.84326     ; -32.29980    ; 35.55661    
-0.76093     ; 0.67358      ; 0.35461      ; 1.07632      ; -15.14053    ; 11.36475     ; -38.11676    ; 41.01923    
-0.75085     ; 0.65692      ; 0.34607      ; 1.05598      ; -8.47122     ; 4.94965      ; -31.94092    ; 33.05171    
-0.74274     ; 0.69452      ; 0.35510      ; 1.07709      ; -6.92352     ; 2.25800      ; -25.80246    ; 26.72423    
-0.73584     ; 0.70367      ; 0.34027      ; 1.07350      ; -4.65057     ; 0.94208      ; -17.51816    ; 18.13860    
-0.72321     ; 0.71527      ; 0.36444      ; 1.08049      ; -4.87488     ; 5.74966      ; -7.32727     ; 8.82978     
-0.74261     ; 0.73163      ; 0.36884      ; 1.10580      ; -11.03577    ; 9.17404      ; 3.13278      ; 11.49512    
-0.71558     ; 0.75146      ; 0.35156      ; 1.09560      ; -16.90506    ; 15.02090     ; 5.98892      ; 17.95029    
-0.74310     ; 0.72461      ; 0.35944      ; 1.09839      ; -15.98541    ; 18.00415     ; 5.30106      ; 16.85704    
-0.76318     ; 0.70520      ; 0.33954      ; 1.09318      ; -15.51437    ; 17.04712     ; 5.84686      ; 16.59455    
-0.77051     ; 0.70465      ; 0.31860      ; 1.09166      ; -3.02811     ; 11.27502     ; 5.70480      ; 6.49698     
-0.78644     ; 0.68274      ; 0.32355      ; 1.09055      ; 0.42618      ; -1.23367     ; 3.40942      ; 3.50313     
-0.76758     ; 0.69537      ; 0.33362      ; 1.08813      ; -2.09351     ; -1.55518     ; 5.01694      ; 5.48051     
-0.74707     ; 0.70148      ; 0.34924      ; 1.08266      ; -3.25241     ; -4.57581     ; 2.61688      ; 4.23300     
-0.72589     ; 0.74847      ; 0.38330      ; 1.11088      ; -1.54770     ; -8.82263     ; 1.88416      ; 2.55061     
-0.71161     ; 0.77075      ; 0.35565      ; 1.10767      ; 5.12161      ; -9.73480     ; 1.48788      ; 5.38876     
-0.71252     ; 0.78107      ; 0.33020      ; 1.10760      ; 11.79840     ; -13.95920    ; 3.47672      ; 12.32477    
-0.72333     ; 0.74243      ; 0.34406      ; 1.09215      ; 15.57419     ; -13.28629    ; 7.28241      ; 17.20872    
-0.74634     ; 0.72943      ; 0.35730      ; 1.10307      ; 14.57977     ; -11.21521    ; 6.04874      ; 15.80155    
-0.74561     ; 0.72870      ; 0.36865      ; 1.10582      ; 11.49185     ; -8.38898     ; 4.23187      ; 12.26794    
-0.74976     ; 0.72089      ; 0.38208      ; 1.10806      ; 5.60013      ; -4.84497     ; 0.68787      ; 5.68808     
-0.73126     ; 0.75934      ; 0.36218      ; 1.11468      ; 2.69913      ; -6.96838     ; -3.31223     ; 4.33967     
-0.72736     ; 0.76978      ; 0.34680      ; 1.11439      ; 4.74777      ; -8.05252     ; -8.32169     ; 9.61168     
-0.71014     ; 0.78345      ; 0.31622      ; 1.10367      ; 11.94794     ; -7.67868     ; -9.94415     ; 15.56448    
-0.70667     ; 0.76947      ; 0.32831      ; 1.09510      ; 18.57239     ; -14.21341    ; -3.72345     ; 18.95758    
-0.73138     ; 0.75580      ; 0.35602      ; 1.11036      ; 20.81543     ; -22.73697    ; 2.86362      ; 21.02507    
-0.74298     ; 0.75610      ; 0.36365      ; 1.12069      ; 21.42105     ; -25.28656    ; 3.65616      ; 21.74398    
-0.75275     ; 0.73615      ; 0.37567      ; 1.11788      ; 19.58176     ; -24.93515    ; 0.82245      ; 19.61284    
-0.76501     ; 0.71265      ; 0.40332      ; 1.12062      ; 16.06766     ; -23.17062    ; -1.18881     ; 16.12733    
-0.73700     ; 0.73810      ; 0.41583      ; 1.12289      ; 15.02838     ; -18.36304    ; -7.23007     ; 16.69344    
-0.71118     ; 0.75867      ; 0.39362      ; 1.11188      ; 14.81155     ; -12.15729    ; -11.20026    ; 18.58503    
-0.69611     ; 0.75720      ; 0.38556      ; 1.09844      ; 12.65823     ; -7.93289     ; -9.71237     ; 15.97293    
-0.70374     ; 0.75311      ; 0.37689      ; 1.09748      ; 14.61716     ; -10.70679    ; -3.73840     ; 15.10643    
-0.69257     ; 0.75293      ; 0.36407      ; 1.08586      ; 17.95929     ; -16.12000    ; -1.50284     ; 18.03778    
-0.70728     ; 0.74329      ; 0.34802      ; 1.08344      ; 20.94254     ; -24.43420    ; -2.75146     ; 21.13558    
-0.69757     ; 0.73602      ; 0.34546      ; 1.07130      ; 17.36862     ; -22.94632    ; -8.54599     ; 19.37123    
-0.69830     ; 0.74817      ; 0.32080      ; 1.07252      ; 17.66769     ; -20.03036    ; -10.23575    ; 20.43227    
-0.70325     ; 0.75287      ; 0.30145      ; 1.07343      ; 19.02100     ; -17.95929    ; -9.36844     ; 21.21633    
-0.70056     ; 0.76666      ; 0.28125      ; 1.07595      ; 19.08081     ; -17.05460    ; -7.15530     ; 20.39273    
-0.68042     ; 0.78778      ; 0.24487      ; 1.06936      ; 14.43024     ; -10.25818    ; -2.90848     ; 14.74149    
-0.68164     ; 0.77277      ; 0.28107      ; 1.06808      ; 10.07874     ; -4.54590     ; -0.41122     ; 10.11668    
-0.67041     ; 0.77008      ; 0.30066      ; 1.06436      ; 6.28052      ; 2.04865      ; 2.45239      ; 6.78617     
-0.66223     ; 0.77014      ; 0.30731      ; 1.06118      ; 5.15152      ; 3.70102      ; 0.32150      ; 5.21868     
-0.66656     ; 0.77673      ; 0.29376      ; 1.06486      ; 9.15909      ; 2.57202      ; -0.23926     ; 9.19508     
-0.67743     ; 0.78271      ; 0.29285      ; 1.07578      ; 11.93298     ; -0.12711     ; 0.65796      ; 11.97671    
-0.69458     ; 0.80170      ; 0.28143      ; 1.09744      ; 14.45267     ; -1.09161     ; 2.18323      ; 14.63861    
-0.67792     ; 0.82355      ; 0.27917      ; 1.10261      ; 15.33493     ; 0.25421      ; 2.63931      ; 15.58218    
-0.66235     ; 0.81506      ; 0.30762      ; 1.09438      ; 14.32556     ; 6.68427      ; -0.78506     ; 14.37019    
-0.65991     ; 0.78345      ; 0.29932      ; 1.06718      ; 10.56473     ; 12.10495     ; -5.73471     ; 12.04633    
-0.68140     ; 0.76788      ; 0.28381      ; 1.06513      ; 6.25809      ; 10.86380     ; -6.68427     ; 9.18873     
-0.69672     ; 0.76904      ; 0.24005      ; 1.06511      ; 5.86182      ; 6.08612      ; -2.20566     ; 6.31009     
-0.71100     ; 0.78735      ; 0.21179      ; 1.08180      ; 3.12531      ; 4.22440      ; 0.29160      ; 3.23612     
-0.72992     ; 0.79059      ; 0.13751      ; 1.08477      ; 1.99631      ; 7.00577      ; 1.12900      ; 2.42588     
-0.74518     ; 0.78925      ; 0.11011      ; 1.09102      ; 1.20377      ; 17.00226     ; 3.17017      ; 3.48165     
-0.74530     ; 0.78375      ; 0.13831      ; 1.09035      ; 2.91595      ; 24.30710     ; 5.30106      ; 6.10068     
-0.77966     ; 0.79828      ; 0.18738      ; 1.13147      ; -2.18323     ; 29.27917     ; 7.73102      ; 8.07294     
-0.80475     ; 0.82471      ; 0.15344      ; 1.16246      ; -7.82822     ; 24.23981     ; 9.70490      ; 12.49584    
-0.80756     ; 0.89502      ; 0.10339      ; 1.20992      ; -11.36475    ; 26.39313     ; 10.13107     ; 15.25114    
-0.81732     ; 0.82599      ; 0.16571      ; 1.17377      ; -17.62283    ; 35.29800     ; 10.23575     ; 20.39650    
-0.76831     ; 0.78668      ; 0.20001      ; 1.11766      ; -21.12198    ; 44.33746     ; -3.46924     ; 21.41944    
-0.70276     ; 0.83710      ; 0.07965      ; 1.09588      ; 1.41312      ; 31.58951     ; -9.97406     ; 10.10839    
-0.66180     ; 0.84009      ; 0.11890      ; 1.07604      ; -4.11972     ; 22.40051     ; -14.26575    ; 14.87244    
-0.65460     ; 0.82434      ; 0.16846      ; 1.06603      ; 4.34402      ; 21.39114     ; -14.39285    ; 15.05670    
-0.64142     ; 0.81995      ; 0.17627      ; 1.05584      ; 6.66183      ; 17.06955     ; -13.22647    ; 14.83212    
-0.62616     ; 0.79541      ; 0.17029      ; 1.02652      ; 5.65994      ; 17.16675     ; -14.34799    ; 15.44450    
-0.61212     ; 0.78571      ; 0.15228      ; 1.00758      ; 2.72903      ; 20.39673     ; -19.79858    ; 20.00122    
-0.56824     ; 0.79443      ; 0.14825      ; 0.98793      ; 2.99072      ; 24.30710     ; -22.63977    ; 22.85027    
-0.55261     ; 0.80334      ; 0.17682      ; 0.99096      ; -2.16827     ; 26.11649     ; -21.62292    ; 21.74621    
-0.54620     ; 0.79529      ; 0.20740      ; 0.98683      ; -5.43564     ; 29.33151     ; -18.60977    ; 19.40367    
-0.53534     ; 0.79962      ; 0.23578      ; 0.99074      ; -8.13477     ; 30.73715     ; -20.42664    ; 22.00139    
-0.51666     ; 0.80829      ; 0.25476      ; 0.99256      ; -8.55347     ; 29.62311     ; -21.28647    ; 22.95493    
-0.51221     ; 0.80872      ; 0.27100      ; 0.99490      ; -7.02072     ; 21.58554     ; -22.32574    ; 23.41759    
