accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-0.72455     ; 0.71497      ; 0.37708      ; 1.08551      ; -4.11972     ; 2.31781      ; 4.07486      ; 5.83847     
-0.69965     ; 0.71368      ; 0.39630      ; 1.07513      ; -6.39267     ; -0.65048     ; 4.09729      ; 7.62649     
-0.68420     ; 0.73462      ; 0.39777      ; 1.07982      ; -8.74039     ; -2.29538     ; 5.76462      ; 10.49594    
-0.66772     ; 0.75714      ; 0.39056      ; 1.08243      ; -12.86758    ; -3.51410     ; 9.48807      ; 16.00536    
-0.67700     ; 0.76501      ; 0.37653      ; 1.08874      ; -16.56113    ; 4.88983      ; 17.95181     ; 24.43612    
-0.67407     ; 0.74268      ; 0.37646      ; 1.07129      ; -14.60220    ; 14.78912     ; 17.47330     ; 22.78359    
-0.66779     ; 0.72559      ; 0.39081      ; 1.06073      ; -1.16638     ; 18.55743     ; 8.40393      ; 8.51546     
-0.60028     ; 0.77405      ; 0.41364      ; 1.06329      ; 6.53473      ; 8.39645      ; -1.31592     ; 6.71070     
-0.61279     ; 0.78223      ; 0.42084      ; 1.07912      ; 2.85614      ; 5.51041      ; 2.55707      ; 3.91255     
-0.61584     ; 0.76404      ; 0.42944      ; 1.07119      ; -1.30096     ; 6.69174      ; 5.37582      ; 5.58352     
-0.63525     ; 0.72931      ; 0.44073      ; 1.06287      ; -10.37781    ; 10.85632     ; 8.02261      ; 13.13747    
-0.64905     ; 0.72119      ; 0.46515      ; 1.07598      ; -11.64139    ; 20.00793     ; 11.79840     ; 16.59049    
-0.62170     ; 0.74329      ; 0.46704      ; 1.07569      ; -6.54221     ; 17.64526     ; 12.89001     ; 14.47430    
-0.61926     ; 0.78888      ; 0.45471      ; 1.10117      ; -4.94965     ; 8.27682      ; 14.59473     ; 15.43138    
-0.60162     ; 0.81323      ; 0.43463      ; 1.10100      ; 2.01126      ; -2.37762     ; 19.91074     ; 20.02858    
