accelX       ; accelY       ; accelZ       ; totalAccel   ; gyroX        ; gyroY        ; gyroZ        ; totalGyro   
-1.34210     ; 0.35541      ; 0.19214      ; 1.40160      ; -45.02533    ; 55.98633     ; 70.91751     ; 84.00417    
-0.95020     ; 0.83032      ; 0.22662      ; 1.28205      ; 63.36594     ; -12.33673    ; -50.37125    ; 80.95180    
-0.76086     ; 0.89154      ; 0.17139      ; 1.18454      ; 58.84247     ; -50.76004    ; -83.29163    ; 101.98395   
-0.61115     ; 0.96472      ; 0.16888      ; 1.15443      ; 70.36423     ; -37.20459    ; -85.16083    ; 110.47363   
-0.56000     ; 0.93518      ; 0.22589      ; 1.11319      ; 50.47592     ; -5.96649     ; -80.54016    ; 95.05478    
-0.56055     ; 0.87207      ; 0.25543      ; 1.06769      ; 38.31116     ; 6.11603      ; -70.76050    ; 80.47083    
-0.56158     ; 0.88196      ; 0.24988      ; 1.07502      ; 40.30746     ; 12.12738     ; -77.97562    ; 87.78192    
-0.51886     ; 0.84344      ; 0.30762      ; 1.03694      ; 23.91083     ; 27.23801     ; -78.13263    ; 81.71381    
-0.47882     ; 0.82855      ; 0.37146      ; 1.02652      ; 15.28259     ; 40.14297     ; -80.77942    ; 82.21654    
-0.40643     ; 0.84888      ; 0.38501      ; 1.01686      ; 14.57977     ; 38.34854     ; -82.36450    ; 83.64928    
-0.36676     ; 0.86011      ; 0.38318      ; 1.01051      ; 11.95541     ; 21.07712     ; -80.00183    ; 80.89478    
-0.33350     ; 0.84991      ; 0.41382      ; 1.00241      ; 12.38907     ; 8.02261      ; -74.96994    ; 75.99147    
-0.27979     ; 0.85242      ; 0.47351      ; 1.01445      ; 10.11612     ; 0.90469      ; -69.90067    ; 70.63403    
-0.27698     ; 0.89038      ; 0.46198      ; 1.04063      ; 11.70868     ; -2.02621     ; -72.67456    ; 73.61710    
-0.24255     ; 0.87689      ; 0.45337      ; 1.01652      ; 12.75543     ; -0.68039     ; -63.44818    ; 64.72358    
-0.27319     ; 0.86200      ; 0.43121      ; 1.00181      ; 2.20566      ; -11.16287    ; -52.00119    ; 52.05508    
-0.30042     ; 0.88757      ; 0.41876      ; 1.02635      ; 0.78506      ; -19.57428    ; -48.35251    ; 48.36703    
-0.23657     ; 0.95837      ; 0.40417      ; 1.06668      ; 10.54230     ; -31.37268    ; -50.26657    ; 51.36912    
-0.23505     ; 1.01813      ; 0.37317      ; 1.10954      ; 29.30908     ; -45.31693    ; -53.39188    ; 60.91594    
-0.25519     ; 1.06647      ; 0.34009      ; 1.14810      ; 33.33160     ; -58.34152    ; -42.79724    ; 54.25622    
-0.28973     ; 1.11670      ; 0.32971      ; 1.19986      ; 23.36502     ; -61.54160    ; -16.28448    ; 28.50185    
-0.31671     ; 1.19745      ; 0.35522      ; 1.28856      ; 17.89948     ; -63.88184    ; 6.92352      ; 19.22915    
-0.37482     ; 1.30200      ; 0.36829      ; 1.40404      ; 16.09009     ; -63.67249    ; 14.46014     ; 21.67215    
-0.36169     ; 1.47009      ; 0.44305      ; 1.57743      ; 19.17801     ; -62.34161    ; 21.50330     ; 28.85046    
-0.33392     ; 1.65936      ; 0.45312      ; 1.75223      ; 24.11270     ; -63.82950    ; 35.55222     ; 42.98995    
-0.43073     ; 1.74756      ; 0.30096      ; 1.82485      ; 13.83209     ; -53.03299    ; 61.80328     ; 63.35635    
-0.52991     ; 1.64594      ; 0.42725      ; 1.78114      ; -29.90723    ; -0.20187     ; 110.76141    ; 114.73989   
-0.72357     ; 1.47937      ; 0.58484      ; 1.74761      ; -43.11874    ; 13.51807     ; 148.27255    ; 154.42203   
-0.78687     ; 1.37042      ; 0.74652      ; 1.74772      ; -34.04190    ; -6.30295     ; 152.42966    ; 156.19069   
-0.77448     ; 1.37567      ; 0.73737      ; 1.74241      ; 10.95352     ; -67.85950    ; 135.42740    ; 135.87660   
-0.81836     ; 1.40381      ; 0.55859      ; 1.71826      ; 43.27576     ; -113.58017   ; 131.38245    ; 138.33333   
-0.91193     ; 1.33154      ; 0.47119      ; 1.68126      ; 35.06622     ; -122.67197   ; 148.80341    ; 152.88515   
-0.95514     ; 1.19067      ; 0.44653      ; 1.59040      ; 27.65671     ; -100.36865   ; 156.84845    ; 159.27255   
-0.93329     ; 1.02948      ; 0.45966      ; 1.46361      ; 20.49393     ; -74.07272    ; 154.91196    ; 156.26508   
-0.90729     ; 0.90271      ; 0.46515      ; 1.36177      ; 13.36853     ; -64.02390    ; 149.66324    ; 150.26183   
-0.88318     ; 0.78088      ; 0.39557      ; 1.24349      ; 0.35889      ; -47.42538    ; 139.06860    ; 139.07126   
-0.88367     ; 0.69843      ; 0.31940      ; 1.17076      ; -17.50320    ; -32.38953    ; 129.35623    ; 130.53691   
-0.81165     ; 0.62054      ; 0.27686      ; 1.05853      ; -29.89975    ; -19.41727    ; 114.38019    ; 118.22524   
-0.71411     ; 0.53876      ; 0.27856      ; 0.93692      ; -29.08478    ; -9.45816     ; 93.55728     ; 97.97540    
-0.63446     ; 0.45813      ; 0.30475      ; 0.83982      ; -22.87903    ; -11.98532    ; 70.79041     ; 74.39719    
-0.60297     ; 0.41919      ; 0.27618      ; 0.78458      ; -17.23404    ; -9.96658     ; 58.28171     ; 60.77784    
-0.51630     ; 0.43085      ; 0.31189      ; 0.74126      ; -8.94226     ; -8.53104     ; 44.15802     ; 45.05641    
-0.47089     ; 0.44342      ; 0.32770      ; 0.72508      ; -10.36285    ; -1.70471     ; 20.00793     ; 22.53670    
-0.46503     ; 0.43329      ; 0.33911      ; 0.72041      ; -18.88641    ; 6.94595      ; 1.64490      ; 18.96286    
-0.46399     ; 0.42157      ; 0.33545      ; 0.71101      ; -19.26025    ; 9.71237      ; -6.53473     ; 20.34300    
-0.48816     ; 0.41058      ; 0.31488      ; 0.71136      ; -21.97433    ; 9.59274      ; -19.60419    ; 29.45105    
-0.53052     ; 0.41974      ; 0.32068      ; 0.74864      ; -21.27899    ; 9.74228      ; -28.10532    ; 35.25451    
-0.54370     ; 0.46899      ; 0.28094      ; 0.77104      ; -12.46384    ; 13.63770     ; -49.12262    ; 50.68135    
-0.56586     ; 0.51630      ; 0.28729      ; 0.81810      ; -12.77786    ; 15.37979     ; -64.45755    ; 65.71390    
-0.58826     ; 0.58789      ; 0.27582      ; 0.87621      ; -5.11414     ; 13.55545     ; -75.60547    ; 75.78052    
-0.65637     ; 0.64551      ; 0.29779      ; 0.96757      ; -1.15891     ; 8.08243      ; -85.99075    ; 86.00098    
-0.71460     ; 0.70197      ; 0.28705      ; 1.04202      ; 9.09927      ; 15.70129     ; -99.32190    ; 99.74031    
-0.76959     ; 0.79456      ; 0.34033      ; 1.15733      ; 9.07684      ; 24.56131     ; -105.81924   ; 106.21079   
-0.85791     ; 0.91833      ; 0.37311      ; 1.31094      ; 10.48996     ; 37.98218     ; -116.89987   ; 117.37318   
-0.94171     ; 1.02777      ; 0.39984      ; 1.45017      ; 18.46771     ; 42.52060     ; -128.40668   ; 129.73198   
-0.97363     ; 1.10901      ; 0.45850      ; 1.54534      ; 26.19873     ; 43.98605     ; -139.47235   ; 141.91595   
-0.98315     ; 1.18872      ; 0.54449      ; 1.63589      ; 28.11279     ; 43.11874     ; -153.48389   ; 156.04181   
-0.91284     ; 1.28406      ; 0.63031      ; 1.69687      ; 26.07162     ; 41.57104     ; -174.76288   ; 176.70157   
-0.80328     ; 1.39606      ; 0.61432      ; 1.72384      ; 21.96686     ; 37.76535     ; -185.29022   ; 186.59303   
-0.67645     ; 1.51904      ; 0.50598      ; 1.73813      ; 10.90118     ; 25.35385     ; -196.50543   ; 196.81343   
-0.64764     ; 1.58215      ; 0.41125      ; 1.75835      ; 14.18350     ; 21.30142     ; -185.66406   ; 186.21176   
-0.70465     ; 1.60303      ; 0.23871      ; 1.76726      ; 38.26630     ; 19.85092     ; -153.08014   ; 157.79863   
-0.66125     ; 1.50488      ; 0.13873      ; 1.64960      ; 20.51636     ; 27.33521     ; -123.11310   ; 124.81995   
-0.61237     ; 1.41119      ; 0.09839      ; 1.54147      ; 1.33087      ; 45.98984     ; -101.84906   ; 101.86753   
-0.57489     ; 1.30542      ; 0.13367      ; 1.43265      ; -10.08621    ; 56.79382     ; -84.53278    ; 85.14239    
-0.53766     ; 1.21375      ; 0.22858      ; 1.34703      ; -30.40817    ; 82.22244     ; -78.52142    ; 84.21249    
-0.51318     ; 1.15997      ; 0.27014      ; 1.29687      ; -47.13379    ; 97.67700     ; -72.75681    ; 86.69771    
-0.47064     ; 1.06921      ; 0.32349      ; 1.21217      ; -67.04453    ; 96.75735     ; -66.99219    ; 94.78431    
-0.38934     ; 1.04468      ; 0.28687      ; 1.15119      ; -54.78256    ; 79.03732     ; -66.64825    ; 86.27984    
-0.32349     ; 1.03015      ; 0.25006      ; 1.10833      ; -40.98785    ; 66.42395     ; -64.44260    ; 76.38006    
-0.29938     ; 1.03308      ; 0.27521      ; 1.11024      ; -35.92606    ; 69.75113     ; -55.34332    ; 65.98964    
-0.26868     ; 0.98621      ; 0.38550      ; 1.09243      ; -39.65698    ; 69.92310     ; -50.06470    ; 63.87584    
-0.24963     ; 0.97382      ; 0.42078      ; 1.08981      ; -27.73148    ; 53.63113     ; -42.61032    ; 50.84902    
-0.22675     ; 0.96851      ; 0.39667      ; 1.07087      ; -8.36655     ; 27.01370     ; -34.58023    ; 35.59114    
-0.20251     ; 0.94495      ; 0.36353      ; 1.03251      ; -1.45050     ; 7.35718      ; -16.03775    ; 16.13091    
-0.23248     ; 0.95001      ; 0.30084      ; 1.02327      ; 16.11252     ; -3.53653     ; -0.79254     ; 16.15995    
-0.27148     ; 0.94623      ; 0.29028      ; 1.02631      ; 8.57590      ; -5.45807     ; 14.32556     ; 16.72313    
-0.28418     ; 0.97522      ; 0.33643      ; 1.07004      ; -2.95334     ; -8.91983     ; 16.83029     ; 17.11526    
-0.28229     ; 1.01855      ; 0.30481      ; 1.10002      ; -7.34222     ; -23.94073    ; 22.32574     ; 23.52413    
-0.27301     ; 1.07062      ; 0.28998      ; 1.14230      ; -7.60391     ; -38.45322    ; 28.53149     ; 29.54677    
-0.29547     ; 1.09558      ; 0.26746      ; 1.16582      ; -8.54599     ; -41.03271    ; 37.70554     ; 38.67741    
-0.34314     ; 1.11926      ; 0.24554      ; 1.19615      ; -5.84686     ; -37.01019    ; 51.84418     ; 52.18484    
-0.36530     ; 1.16736      ; 0.35614      ; 1.27397      ; -9.58527     ; -28.72589    ; 60.12100     ; 60.89150    
-0.45221     ; 1.27698      ; 0.39294      ; 1.41052      ; -11.42456    ; -35.82886    ; 65.40710     ; 66.40965    
-0.57623     ; 1.36578      ; 0.38293      ; 1.53103      ; -12.09747    ; -46.73752    ; 84.89914     ; 85.76758    
-0.71167     ; 1.46783      ; 0.49237      ; 1.70395      ; -31.58951    ; -36.90552    ; 109.11652    ; 113.60663   
-0.72260     ; 1.61255      ; 0.60052      ; 1.86630      ; -41.03271    ; -25.01740    ; 117.41577    ; 124.38950   
-0.72266     ; 1.70917      ; 0.63818      ; 1.96234      ; -30.37827    ; -42.11685    ; 122.70187    ; 126.41800   
-0.74829     ; 1.72955      ; 0.62311      ; 1.98483      ; -10.17593    ; -79.56818    ; 132.34695    ; 132.74886   
-0.87646     ; 1.65845      ; 0.58887      ; 1.96606      ; 0.47852      ; -94.54422    ; 142.35092    ; 142.36139   
-0.97601     ; 1.57104      ; 0.57660      ; 1.93733      ; 0.36636      ; -99.75555    ; 171.29364    ; 171.30124   
-0.92505     ; 1.52496      ; 0.46973      ; 1.84442      ; -20.16495    ; -83.24677    ; 177.51434    ; 178.66251   
-0.84613     ; 1.44800      ; 0.31970      ; 1.70729      ; -29.28665    ; -71.63528    ; 169.02817    ; 171.55269   
-0.86810     ; 1.28888      ; 0.29126      ; 1.58103      ; -35.10361    ; -67.64267    ; 171.86188    ; 175.41502   
-0.89423     ; 1.06415      ; 0.34613      ; 1.43243      ; -18.63968    ; -54.26666    ; 169.72351    ; 170.74730   
-0.87408     ; 0.81409      ; 0.48712      ; 1.28998      ; -15.74615    ; -43.50754    ; 166.95709    ; 167.69995   
-0.84027     ; 0.61707      ; 0.51233      ; 1.16160      ; -3.88046     ; -39.06631    ; 152.22031    ; 152.27101   
-0.80286     ; 0.52515      ; 0.44135      ; 1.05600      ; 0.35141      ; -50.43854    ; 128.93753    ; 128.93907   
-0.78656     ; 0.48920      ; 0.31433      ; 0.97816      ; -2.90100     ; -62.64816    ; 100.27893    ; 100.32207   
-0.77045     ; 0.45801      ; 0.22986      ; 0.92531      ; -3.37204     ; -56.41998    ; 69.43710     ; 69.52044    
-0.71802     ; 0.39923      ; 0.18201      ; 0.84146      ; 8.18710      ; -37.75040    ; 51.47781     ; 52.12632    
-0.69366     ; 0.40344      ; 0.27472      ; 0.84818      ; 8.85254      ; -31.39511    ; 40.71121     ; 41.66453    
-0.60529     ; 0.42542      ; 0.34119      ; 0.81471      ; 17.19666     ; -25.03235    ; 16.43402     ; 23.79040    
-0.52063     ; 0.43390      ; 0.39478      ; 0.78433      ; 14.19846     ; -3.03558     ; -2.28043     ; 14.38696    
-0.48730     ; 0.41064      ; 0.43195      ; 0.76985      ; -5.82443     ; 16.57608     ; -8.02261     ; 9.92245     
-0.49005     ; 0.38275      ; 0.37061      ; 0.72388      ; -23.13324    ; 22.62482     ; -13.18161    ; 26.62796    
-0.54248     ; 0.39044      ; 0.26678      ; 0.71966      ; -31.96335    ; 24.11270     ; -25.36880    ; 40.80912    
-0.58276     ; 0.41388      ; 0.22955      ; 0.75074      ; -32.59140    ; 25.06973     ; -32.44934    ; 45.99272    
-0.60449     ; 0.43842      ; 0.22491      ; 0.77988      ; -26.72211    ; 29.88480     ; -47.74689    ; 54.71772    
-0.62610     ; 0.47656      ; 0.29413      ; 0.84001      ; -13.53302    ; 34.94659     ; -66.43890    ; 67.80485    
-0.63336     ; 0.54828      ; 0.39380      ; 0.92565      ; 0.91965      ; 34.64752     ; -91.50864    ; 91.51490    
-0.64178     ; 0.66339      ; 0.47223      ; 1.03681      ; 6.79642      ; 27.29034     ; -113.49045   ; 113.69570   
-0.70459     ; 0.80548      ; 0.47638      ; 1.17140      ; 6.78146      ; 15.06577     ; -124.52621   ; 124.71333   
-0.72137     ; 0.98285      ; 0.38092      ; 1.27729      ; 5.77957      ; 10.41519     ; -129.76746   ; 129.89981   
-0.82227     ; 1.09473      ; 0.25525      ; 1.39273      ; 0.52338      ; 7.60391      ; -137.96951   ; 137.97485   
-0.89508     ; 1.13403      ; 0.23615      ; 1.46389      ; 5.51041      ; 26.20621     ; -139.03122   ; 139.14500   
-0.93335     ; 1.14014      ; 0.33594      ; 1.51126      ; 9.80957      ; 64.75662     ; -151.45767   ; 151.77930   
-0.91681     ; 1.30731      ; 0.54486      ; 1.68715      ; 13.76480     ; 79.54575     ; -173.61145   ; 174.16118   
-0.85809     ; 1.44458      ; 0.64172      ; 1.79860      ; 20.35934     ; 69.96796     ; -189.14825   ; 190.24629   
-0.80176     ; 1.54987      ; 0.71313      ; 1.88506      ; 18.54248     ; 61.10046     ; -193.25302   ; 194.14674   
-0.68713     ; 1.62207      ; 0.71069      ; 1.89957      ; 17.63779     ; 50.73761     ; -189.76135   ; 190.58618   
-0.63422     ; 1.61359      ; 0.59180      ; 1.83197      ; 17.93686     ; 25.51086     ; -183.73505   ; 184.61555   
-0.54828     ; 1.58398      ; 0.44165      ; 1.73340      ; 22.21359     ; 2.11594      ; -172.82639   ; 174.25531   
-0.45709     ; 1.58136      ; 0.21259      ; 1.65977      ; 46.29639     ; 0.50095      ; -152.42218   ; 159.30592   
-0.41968     ; 1.46997      ; 0.18353      ; 1.53968      ; 8.98712      ; 20.67337     ; -122.23831   ; 122.57706   
-0.41565     ; 1.31744      ; 0.20020      ; 1.39589      ; -18.11630    ; 39.29062     ; -96.45081    ; 98.14629    
-0.40088     ; 1.20154      ; 0.21332      ; 1.28449      ; -29.18945    ; 45.63095     ; -89.26559    ; 93.92451    
-0.37689     ; 1.12671      ; 0.22510      ; 1.20921      ; -50.67780    ; 58.46863     ; -76.65970    ; 91.90331    
-0.33728     ; 1.09851      ; 0.23083      ; 1.17208      ; -63.94913    ; 62.36404     ; -61.42944    ; 88.68074    
-0.28638     ; 1.09027      ; 0.24121      ; 1.15277      ; -65.65384    ; 61.69861     ; -50.05722    ; 82.56719    
-0.29718     ; 1.04309      ; 0.27155      ; 1.11807      ; -61.40701    ; 57.57889     ; -31.88110    ; 69.19765    
-0.33722     ; 0.97992      ; 0.30469      ; 1.08018      ; -47.08145    ; 56.28540     ; -13.24890    ; 48.91990    
-0.36224     ; 0.93073      ; 0.32135      ; 1.04916      ; -38.36349    ; 53.64609     ; -7.73849     ; 39.14726    
-0.37439     ; 0.90356      ; 0.30701      ; 1.02511      ; -20.11261    ; 35.91858     ; 1.88416      ; 20.22087    
-0.37378     ; 0.89984      ; 0.33405      ; 1.03005      ; -5.12161     ; 24.37439     ; 8.87497      ; 10.28619    
-0.36420     ; 0.89124      ; 0.41852      ; 1.04981      ; -5.21881     ; 17.57050     ; 5.74219      ; 7.81044     
-0.33740     ; 0.91052      ; 0.40399      ; 1.05171      ; 9.45816      ; -10.37781    ; 8.60580      ; 12.81974    
-0.40442     ; 0.91492      ; 0.27209      ; 1.03666      ; 34.12415     ; -34.65500    ; 11.43204     ; 35.99981    
-0.40375     ; 0.93805      ; 0.18353      ; 1.03761      ; 43.34305     ; -32.27737    ; 9.31610      ; 44.34286    
-0.39941     ; 0.97888      ; 0.10193      ; 1.06213      ; 46.68518     ; -24.93515    ; 6.36276      ; 47.12695    
-0.41498     ; 0.98871      ; 0.23236      ; 1.09715      ; -8.66562     ; -7.00577     ; 14.81155     ; 17.18874    
-0.39728     ; 1.02667      ; 0.35394      ; 1.15636      ; -35.70923    ; -6.26556     ; 32.45682     ; 48.26643    
-0.39886     ; 1.10590      ; 0.28925      ; 1.21069      ; -25.13702    ; -21.03226    ; 54.69284     ; 60.20299    
-0.49561     ; 1.11517      ; 0.34894      ; 1.26925      ; -27.72400    ; -11.52924    ; 75.96436     ; 80.87303    
-0.58331     ; 1.25470      ; 0.49811      ; 1.47059      ; -30.82687    ; -3.72345     ; 84.84680     ; 90.28206    
-0.61389     ; 1.37756      ; 0.64758      ; 1.64131      ; -48.37494    ; 14.96857     ; 96.94427     ; 108.35232   
-0.66064     ; 1.48877      ; 0.68872      ; 1.76840      ; -52.65915    ; -1.99631     ; 108.31650    ; 120.44778   
-0.68396     ; 1.55292      ; 0.61334      ; 1.80431      ; -47.14874    ; -53.58627    ; 117.78214    ; 126.87808   
-0.77319     ; 1.55719      ; 0.58276      ; 1.83365      ; -27.66418    ; -87.60574    ; 131.05347    ; 133.95053   
-0.88025     ; 1.52039      ; 0.61609      ; 1.86171      ; -2.34024     ; -105.48279   ; 147.27814    ; 147.30458   
-0.88007     ; 1.47870      ; 0.63611      ; 1.83458      ; 5.68237      ; -108.92212   ; 149.49875    ; 149.61401   
-0.86530     ; 1.37006      ; 0.61542      ; 1.73336      ; 14.57977     ; -106.35757   ; 157.07275    ; 157.75391   
-0.87262     ; 1.17700      ; 0.55029      ; 1.56513      ; 12.30682     ; -100.06958   ; 170.53101    ; 170.97856   
-0.88464     ; 0.99152      ; 0.50140      ; 1.42025      ; 7.02072      ; -103.05283   ; 168.66180    ; 168.81078   
-0.90723     ; 0.88391      ; 0.47015      ; 1.35107      ; 9.08432      ; -98.27515    ; 150.73242    ; 151.00851   
-0.87225     ; 0.80365      ; 0.48352      ; 1.28081      ; 5.73471      ; -82.11029    ; 128.01788    ; 128.14879   
-0.76294     ; 0.72607      ; 0.49634      ; 1.16431      ; 4.17206      ; -72.71942    ; 114.11102    ; 114.18958   
-0.66583     ; 0.67950      ; 0.44299      ; 1.04943      ; 3.03558      ; -64.05380    ; 92.06192     ; 92.11446    
-0.58026     ; 0.63519      ; 0.33838      ; 0.92449      ; 0.92712      ; -61.53412    ; 79.36630     ; 79.37426    
-0.56799     ; 0.54608      ; 0.29968      ; 0.84299      ; -4.54590     ; -53.68347    ; 72.55493     ; 72.69926    
-0.54510     ; 0.48920      ; 0.25531      ; 0.77565      ; 1.51031      ; -39.23828    ; 62.49115     ; 62.51131    
-0.54968     ; 0.46356      ; 0.31384      ; 0.78456      ; -4.41879     ; -12.39655    ; 39.06631     ; 39.31816    
-0.45734     ; 0.46783      ; 0.36359      ; 0.74848      ; -3.23746     ; -3.34961     ; 31.62689     ; 31.79560    
-0.41125     ; 0.48230      ; 0.36371      ; 0.73077      ; -0.20187     ; -7.62634     ; 19.06586     ; 19.07302    
-0.34760     ; 0.51636      ; 0.30237      ; 0.69201      ; 8.41141      ; -17.16675    ; -3.13278     ; 8.99070     
-0.37512     ; 0.49933      ; 0.26086      ; 0.67683      ; 5.39078      ; -15.97046    ; -13.03955    ; 14.11877    
